fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,Id
0.24778761061946908,0.39726027397260266,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0
0.2831858407079646,0.5205479452054794,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,1
0.2831858407079646,0.4383561643835616,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,2
0.5840707964601769,0.10958904109589043,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,3
0.24778761061946908,0.39726027397260266,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,4
0.24778761061946908,0.3698630136986301,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,5
0.2920353982300885,0.3287671232876712,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,6
0.23893805309734517,0.363013698630137,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,7
0.2831858407079646,0.3150684931506849,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,8
0.18584070796460184,0.3150684931506849,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,10
0.08849557522123891,0.3390410958904109,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,12
0.2831858407079646,0.33561643835616434,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,13
0.34513274336283184,0.10958904109589043,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,16
0.2920353982300885,0.136986301369863,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,19
0.2654867256637168,0.18493150684931509,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,21
0.2920353982300885,0.21232876712328763,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,22
0.34513274336283184,0.25342465753424653,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,23
0.20353982300884965,0.1917808219178082,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,24
0.1504424778761062,0.18493150684931509,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,25
0.2654867256637168,0.19863013698630133,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,26
0.22123893805309736,0.40410958904109584,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,28
0.2831858407079646,0.3595890410958904,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,6,29
0.18584070796460184,0.3801369863013699,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,30
0.32743362831858414,0.3664383561643836,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,32
0.05309734513274339,0.136986301369863,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,34
